ppm,Conc,Bulk_SS1,Bulk_SS2,AvgBulk,SS1.2,SS1.2_4,SS1.4_6,SS2.2,SS2.2_4,SS2.4_6,SS2.6_8,SS2.8_10,SS.10_12
0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,100,99.76340387,99.88255824,99.82298105,99.46,98.75,97.19,100.01,99.93,99.89,99.76,94.42,81.29
10,200,199.7343914,199.9230229,199.8287072,198.56,197.07,183.23,199.93,200.13,200.22,199.18,197.71,198.95
20,400,399.1786295,382.1105464,390.6445879,393.37,371.30,327.29,400.37,400.26,400.30,399.93,331.58,298.86
30,600,563.0840421,599.8135579,581.4488,559.82,453.78,394.97,600.31,600.76,600.41,411.19,496.56,272.30
40,800,704.7537882,800.0234835,752.3886359,716.17,630.52,473.94,800.06,800.64,801.71,626.76,423.95,475.95
50,1000,698.8157182,752.1958647,725.5057914,843.20,635.65,581.61,999.92,1000.54,1001.74,997.96,392.71,456.31
