ppm,Type,Size,Init_Conc,Psorbed,Premoval,FeTot,AlTot,CaTot,MgTot,CaWS,MgWS,FeAO,AlAO,FeCBD,AlCBD
0,SS1,2,0,0,100,355400,980,145000,67000,6671,67,76616,3090,21274,421
5,SS1,2,100,99.46,99.46,355400,980,145000,67000,6671,67,76616,3090,21274,421
10,SS1,2,200,198.56,99.28,355400,980,145000,67000,6671,67,76616,3090,21274,421
20,SS1,2,400,393.37,98.34,355400,980,145000,67000,6671,67,76616,3090,21274,421
30,SS1,2,600,559.82,93.3,355400,980,145000,67000,6671,67,76616,3090,21274,421
40,SS1,2,800,716.17,89.52,355400,980,145000,67000,6671,67,76616,3090,21274,421
50,SS1,2,1000,843.2,84.32,355400,980,145000,67000,6671,67,76616,3090,21274,421
0,SS1,4,0,0,100,24252,1465,133000,63000,3358,40,101160,2864,19584,5
5,SS1,4,100,98.75,98.75,24252,1465,133000,63000,3358,40,101160,2864,19584,5
10,SS1,4,200,197.07,98.54,24252,1465,133000,63000,3358,40,101160,2864,19584,5
20,SS1,4,400,371.3,92.83,377800,1465,133000,63000,3358,40,101160,2864,19584,5
30,SS1,4,600,453.78,75.63,377800,1465,133000,63000,3358,40,101160,2864,19584,5
40,SS1,4,800,630.52,78.82,377800,1465,133000,63000,3358,40,101160,2864,19584,5
50,SS1,4,1000,635.65,63.57,377800,1465,133000,63000,3358,40,101160,2864,19584,5
0,SS1,6,0,0,100,420500,2162,121000,58000,3561,30,104897,2696,22386,15
